text,label
Poderiam atualizar o chamado 998? Obrigado.,produtivo
Agradeço o atendimento!,improdutivo
Segue arquivo com documentação para validação.,produtivo
Parabéns pelo excelente trabalho!,improdutivo
"Há uma falha no acesso, consigo suporte ainda hoje?",produtivo
Desejo uma ótima semana a todos!,improdutivo
"Preciso resetar minha senha, poderiam me ajudar?",produtivo
Gratidão pelo apoio!,improdutivo
"Enviei um arquivo ontem e ainda não recebi confirmação, podem verificar?",produtivo
"Oi equipe, só passando para dar um oi.",improdutivo
"Estou com dificuldade para acessar a plataforma, aparece erro 403.",produtivo
"O sistema está lento desde ontem, precisam verificar com urgência.",produtivo
Desejo a todos um excelente fim de semana.,improdutivo
"Bom dia, só queria desejar sucesso a todos no novo projeto!",improdutivo
"Segue anexo o relatório solicitado, favor confirmar recebimento.",produtivo
"Obrigado por responder rápido, não preciso de mais nada.",improdutivo
"Não consigo anexar documentos no portal, poderiam liberar essa função?",produtivo
"Parabéns pela apresentação de ontem, ficou ótima!",improdutivo
"O boleto do mês ainda não apareceu na área do cliente, podem verificar?",produtivo
"Valeu equipe, tudo funcionando bem por aqui!",improdutivo
"Favor corrigir o erro no relatório de vendas, está duplicando linhas.",produtivo
"Bom dia, desejo muitas bênçãos para todos!",improdutivo
"Meu chamado 456 está em aberto há 5 dias, preciso de retorno imediato.",produtivo
Somente agradecendo pela atenção que sempre recebo.,improdutivo
"Enviei dados pessoais e não obtive resposta, é urgente.",produtivo
"Boa noite, só reforçando meus parabéns pela ótima semana de trabalho.",improdutivo
"Obrigado, apenas passando para confirmar que recebi a informação.",improdutivo
"O sistema está fora do ar desde a manhã, preciso de retorno.",produtivo
Desejo feliz aniversário ao time da AutoU!,improdutivo
"Recebi cobrança duplicada, favor verificar e corrigir.",produtivo
"Bom dia, estou muito satisfeito com o suporte recebido até agora.",improdutivo
Poderiam atualizar o status do protocolo 2319? Ainda ocorre erro ao emitir a fatura.,produtivo
Envio documentos em anexo para validação do cadastro.,produtivo
Apenas para agradecer pelo suporte ontem.,improdutivo
Segue screenshot do erro na autenticação. Podem verificar?,produtivo
Podem reenviar o boleto com novo vencimento?,produtivo
Boas festas e um excelente ano novo!,improdutivo
Podemos agendar quinta às 14h para revisar a proposta?,produtivo
Existe alguma atualização sobre o chamado aberto ontem?,produtivo
"Oi, tudo bem?",improdutivo
Solicito cancelar a fatura de março por serviço não prestado.,produtivo
"Cordialmente, João.",improdutivo
Webhook retorna 500; precisamos de suporte.,produtivo
Update status of invoice #987.,produtivo
Reenviar la factura con el anexo correcto.,produtivo
Novidades do mês no blog.,improdutivo
Somente assinatura.,improdutivo
Posicionamento do protocolo 7A2C-55 (suporte faturamento).,produtivo
Remarcar reunião para terça às 10h.,produtivo
Liberar acesso para o usuário jpedro.,produtivo
Agradeço a parceria e bom fim de semana.,improdutivo
"Obrigado, somente confirmando recebimento.",produtivo
"Obrigado, somente confirmando recebimento.",produtivo
"Cordialmente, João",improdutivo
"Preciso de atualização sobre o contrato enviado.",produtivo
"Obrigado, apenas confirmando o recebimento.",improdutivo
